Designator,Mid X,Mid Y,Rotation,Layer
C1,84.3,-105.6,90.0,top
C2,92.7,-109.7,90.0,top
C3,92.4,-124.2,0.0,top
C4,90.5,-117.4,180.0,top
C5,77.9,-112.1,180.0,top
C6,66.664471,-116.9,0.0,top
C7,77.9,-120.4,180.0,top
C8,70.964471,-121.6,0.0,top
C9,90.5,-119.0,180.0,top
CN1,83.0,-127.0,0.0,top
CN2,75.2,-102.9,180.0,top
IC1,85.88255,-116.3,90.0,top
R1,53.0,-115.4,90.0,top
R2,55.0,-115.397347,90.0,top
R3,66.799664,-118.5,180.0,top
R4,71.1,-123.2,180.0,top
R5,66.8,-115.3,180.0,top
R6,71.1,-120.0,180.0,top
